Configuration,Quality,Feature 1,Feature 2,Feature 3,Feature 4
1,0,129,116,107.5,118
2,0,131,118,110,120
3,0,129,116,121,104
2,0,133,115,115,114
3,0,129,116,120,108
2,0,131,114,108.5,116
3,0,132,115,116.25,108
2,0,130,117,117.75,108
3,0,131,115,120,106
2,0,131,117,115.5,108
3,0,128,116,115.75,106
2,0,130,115,119.25,108
1,0,128,113,113.5,110
2,0,132,115,109.5,112
3,0,129,116,120.5,106
2,0,132,114,111.5,114
3,0,132,115,119.75,106
2,0,131,113,112.5,112
2,0,131,113,111.25,110
3,0,129,117,116.25,108
2,0,132,118,118.25,114
3,0,129,118,118,108
2,0,131,117,109,116
3,0,132,117,117.75,108
1,0,129,115,119,108
3,0,128,118,115,108
3,0,128,118,117.5,106
3,0,129,117,112.5,108
3,0,129,117,113.75,108
3,0,131,118,116.75,102
1,0,131,113,119.5,106
2,0,132,115,106.75,114
3,0,129,116,122.5,106
2,0,132,115,107.5,114
3,0,130,117,123,106
2,0,131,114,110.25,114
2,0,132,115,112.5,110
3,0,131,117,120.25,104
2,0,132,117,109.75,116
3,0,132,118,116.5,106
2,0,132,117,112.75,114
3,0,131,117,121.5,104
1,0,130,117,104.25,120
2,0,132,117,109.25,118
3,0,129,116,121,106
2,0,131,116,106.75,118
3,0,128,117,118.75,108
2,0,130,114,104,120
3,0,129,117,118.25,106
2,0,129,117,110.75,112
3,0,131,115,117.75,106
2,0,132,115,106,114
3,0,128,115,119.5,104
2,0,131,114,109.75,112
1,0,130,112,116.75,108
2,0,132,114,109.75,116
3,0,129,115,120.25,106
2,0,132,113,108.25,114
3,0,129,117,119.5,108
2,0,131,114,108.75,112
2,0,132,116,109.25,112
3,0,132,116,118.5,112
2,0,135,117,107.25,114
3,0,132,116,120,108
2,0,132,113,109.5,114
3,0,133,117,119.75,106
1,0,129,117,117.25,108
3,0,128,117,117.25,108
3,0,129,118,110.75,106
3,0,129,118,112,106
3,0,129,118,112.25,108
3,0,131,118,112.25,108
1,0,129,116,107.75,118
2,0,131,115,114,114
3,0,128,118,122,110
2,0,131,115,102.5,122
3,0,131,115,124.25,106
2,0,129,115,105.75,118
3,0,133,117,112.75,110
2,0,129,116,108.75,112
3,0,132,115,111.25,110
2,0,131,114,106.5,114
3,0,131,117,114.25,108
2,0,131,116,103.5,112
1,0,127,112,121.5,104
2,0,134,115,106.5,116
3,0,131,115,125,102
2,0,132,113,110,108
3,0,129,117,121.5,108
2,0,130,115,107.5,114
2,0,132,115,112.25,112
3,0,132,115,117.75,108
2,0,133,115,110,114
3,0,132,117,117.75,114
2,0,132,118,119,110
3,0,132,115,120,104
1,0,132,117,109.75,116
2,0,132,115,112.25,114
3,0,129,118,120.75,104
2,0,131,116,107.5,118
3,0,131,117,120.25,110
2,0,134,113,112.25,112
3,0,131,118,113.75,106
2,0,131,116,111,110
3,0,132,117,111.5,110
2,0,134,116,109.5,110
3,0,131,114,116.5,106
2,0,132,115,109.75,112
1,0,129,114,117.75,110
2,0,136,115,108,112
3,0,131,116,125.5,102
2,0,132,115,109,114
3,0,131,118,121.25,108
2,0,129,114,108.75,112
2,0,131,117,108.25,112
3,0,132,118,119,112
2,0,132,115,109.5,114
3,0,132,119,118.5,110
2,0,132,117,110,116
3,0,133,117,119.5,106
1,0,130,118,105,118
2,0,131,117,111,118
3,0,130,117,115.75,108
2,0,132,117,111,118
3,0,131,118,118.75,110
2,0,132,117,108.75,116
3,0,131,117,116.25,112
2,0,131,117,107,114
3,0,132,118,116.25,106
2,0,131,118,106.5,112
3,0,131,116,113.75,106
2,0,131,118,117.25,110
1,0,127,116,113.5,114
2,0,134,117,110,114
3,0,131,118,118.5,106
2,0,132,116,109,112
3,0,130,116,121.75,108
2,0,131,115,108.25,112
2,0,131,116,112,112
3,0,131,118,112,112
2,0,132,116,108,116
3,0,132,117,118.25,112
2,0,133,118,115,114
3,0,134,117,116.75,108
1,0,132,115,118.75,104
3,0,132,117,115,110
3,0,129,118,116.75,108
3,0,131,118,111.25,110
3,0,134,118,112,112
3,0,133,117,115,106
1,0,130,115,118.5,110
2,0,137,116,104.5,118
3,0,131,116,124.25,106
2,0,133,115,109.25,114
3,0,132,118,121.75,110
2,0,130,115,110.25,114
2,0,132,116,109.25,112
3,0,131,119,119.5,110
2,0,133,116,114.25,114
3,0,132,118,118.75,106
2,0,130,116,115.5,112
3,0,131,118,124.25,104
1,0,132,116,120.75,108
3,0,129,118,117.25,112
3,0,129,118,112.75,112
3,0,132,118,115,106
3,0,130,118,116.25,110
3,0,131,118,112.75,108
1,0,129,118,103.5,122
2,0,131,117,106.25,120
3,0,129,118,118.75,112
2,0,131,116,103.25,120
3,0,132,118,107.5,112
2,0,131,117,103.75,120
3,0,132,118,113,114
2,0,131,117,112.25,112
3,0,132,118,108.5,110
2,0,131,120,109.75,112
3,0,130,117,111.75,112
2,0,132,117,108.25,114
1,0,128,115,121.25,106
2,0,134,116,103.75,118
3,0,132,117,122.25,106
2,0,132,115,106.25,116
3,0,132,117,120.25,108
2,0,133,116,106.25,114
2,0,134,117,113,114
3,0,132,117,121,104
2,0,132,117,109,116
3,0,130,118,120,110
2,0,131,117,109.75,116
3,0,132,117,123.25,106
1,0,130,118,108.25,118
2,0,132,117,108,118
3,0,129,118,114.5,108
2,0,132,117,107.25,118
3,0,131,117,119.25,108
2,0,132,117,106.5,120
3,0,130,115,113.5,112
2,0,131,116,118.5,108
3,0,131,115,116.25,110
2,0,130,115,113.5,112
3,0,131,115,120.25,110
2,0,132,115,115.25,110
1,0,128,115,117.75,110
2,0,132,116,107.75,116
3,0,129,117,119.5,110
2,0,132,115,104.5,116
3,0,131,117,120.75,108
2,0,131,115,106.25,114
2,0,132,115,109,112
3,0,130,118,113,112
2,0,132,116,112.5,114
3,0,132,118,120,108
2,0,132,116,111.75,114
3,0,132,117,119.5,110
1,0,133,115,115.75,108
3,0,136,116,119.5,108
3,0,137,117,121,104
3,0,135,118,113.5,108
3,0,138,117,116.75,108
3,0,139,117,114.25,112
1,0,129,115,122.5,104
2,0,132,117,105.25,116
3,0,129,117,121.25,106
2,0,132,116,106.75,116
3,0,130,117,119.5,108
2,0,131,115,104.75,116
2,0,132,117,108.25,114
3,0,132,118,119.75,106
2,0,131,118,108,116
3,0,131,119,117,110
2,0,131,118,114.75,112
3,0,132,117,120.5,106
1,0,132,116,109.25,116
2,0,134,117,111.5,116
3,0,132,118,117.5,106
2,0,134,117,109.75,118
3,0,132,118,117.5,112
2,0,134,117,106,118
3,0,133,119,116,112
2,0,133,117,116.5,110
3,0,133,117,122.5,106
2,0,132,118,110.5,114
3,0,131,117,116,104
2,0,134,118,110,114
1,0,128,116,118,108
2,0,134,117,107.5,116
3,0,131,117,119.75,110
2,0,132,116,107.75,112
3,0,131,117,123,110
